Table 1
Country,"Number
of crypto owners","Percentage
of the population",,
India,"100,740,320",7.30%,,
USA,"27,491,810",8.31%,,
Russia,"17,379,175",11.91%,,
Nigeria,"13,016,341",6.31%,,
Brazil,"10,373,187",4.88%,,
Pakistan,"9,051,827",4.10%,,
Indonesia,"7,285,707",2.66%,,
Vietnam,"5,961,684",6.12%,,
Ukraine,"5,565,881",12.73%,,
Kenya,"4,580,760",8.52%,,
Philippines,"4,360,579",3.98%,,
South Africa,"4,215,944",7.11%,,
Bangladesh,"3,742,571",2.27%,,
Thailand,"3,629,713",5.20%,,
United Kingdom,"3,360,591",4.95%,,
Mexico,"3,189,799",2.47%,,
Colombia,"3,122,449",6.14%,,
Venezuela,"2,941,502",10.34%,,
Turkey,"2,476,418",2.94%,,
Germany,"2,191,986",2.62%,,
France,"2,179,654",3.34%,,
Japan,"2,079,653",1.64%,,
South Korea,"1,942,933",3.79%,,
Egypt,"1,791,852",1.75%,,
Iran,"1,649,897",1.96%,,
Argentina,"1,327,067",2.94%,,
Italy,"1,309,499",2.17%,,
Peru,"1,233,892",3.74%,,
Canada,"1,206,627",3.20%,,
Spain,"1,173,340",2.51%,,
Ethiopia,"1,127,264",0.98%,,
Tanzania,"1,095,494",1.83%,,
Malaysia,"1,019,405",3.15%,,
Poland,"945,298",2.50%,,
Ghana,"934,482",3.01%,,
Morocco,"878,168",2.38%,,
Australia,"857,553",3.36%,,
Uganda,"828,022",1.81%,,
Singapore,"549,903",9.40%,,
Netherlands,"521,404",3.04%,,
Chile,"500,125",2.62%,,
Cameroon,"499,423",1.88%,,
Mozambique,"499,115",1.60%,,
Myanmar,"494,815",0.91%,,
Ecuador,"482,496",2.73%,,
Saudi Arabia,"452,778",1.30%,,
Nepal,"423,840",1.45%,,
Romania,"423,496",2.20%,,
Iraq,"375,328",0.93%,,
Belarus,"352,498",3.73%,,
Angola,"349,536",1.06%,,
Uzbekistan,"344,047",1.03%,,
Ivory Coast,"343,067",1.30%,,
Kazakhstan,"324,325",1.73%,,
Sri Lanka,"321,641",1.50%,,
Madagascar,"301,061",1.09%,,
Yemen,"278,315",0.93%,,
Belgium,"272,990",2.36%,,
Zambia,"271,781",1.48%,,
Hong Kong,"245,012",3.27%,,
Portugal,"241,389",2.37%,,
Guatemala,"239,375",1.34%,,
Czech Republic,"238,285",2.23%,,
Mali,"232,172",1.15%,,
Sweden,"228,309",2.26%,,
Cambodia,"225,368",1.35%,,
Bolivia,"215,461",1.85%,,
Senegal,"203,874",1.22%,,
Dominican Republic,"201,516",1.86%,,
Burkina Faso,"197,532",0.94%,,
Greece,"194,860",1.87%,,
Rwanda,"188,410",1.45%,,
Syria,"177,824",1.02%,,
Malawi,"176,240",0.92%,,
Austria,"171,578",1.91%,,
Benin,"161,981",1.34%,,
Switzerland,"157,695",1.82%,,
United Arab Emirates,"152,077",1.54%,,
Republic of Serbia,"151,954",1.74%,,
Slovakia,"140,249",2.57%,,
Hungary,"131,365",1.36%,,
Togo,"131,221",1.59%,,
Jordan,"129,071",1.27%,,
El Salvador,"125,873",1.94%,,
Tunisia,"122,890",1.04%,,
Bulgaria,"120,842",1.74%,,
Georgia,"115,241",2.89%,,
Israel,"109,493",1.27%,,
Haiti,"107,752",0.94%,,
Finland,"104,241",1.88%,,
Honduras,"101,815",1.03%,,
Sudan,"101,798",0.91%,,
Azerbaijan,"98,217",0.97%,,
Norway,"93,640",1.73%,,
Panama,"85,779",1.99%,,
New Zealand,"85,008",1.76%,,
Ireland,"84,704",1.72%,,
Denmark,"79,451",1.37%,,
Papua New Guinea,"79,245",0.89%,,
Costa Rica,"75,913",1.49%,,
Paraguay,"75,010",1.05%,,
Nicaragua,"73,594",1.11%,,
Lithuania,"70,254",2.58%,,
Lebanon,"70,158",1.03%,,
Kyrgyzstan,"63,199",0.97%,,
Croatia,"62,150",1.51%,,
Latvia,"62,091",3.29%,,
Congo,"61,302",1.11%,,
Moldova,"54,377",1.35%,,
Slovenia,"50,940",2.45%,,
Uruguay,"50,119",1.44%,,
Oman,"49,467",0.97%,,
Kuwait,"47,949",1.12%,,
Bosnia and Herzegovina,"45,002",1.37%,,
Jamaica,"39,214",1.32%,,
Puerto Rico,"35,851",1.25%,,
Armenia,"33,270",1.12%,,
Estonia,"32,032",2.41%,,
Qatar,"28,591",0.99%,,
Albania,"28,559",0.99%,,
Namibia,"28,529",1.12%,,
Botswana,"25,010",1.06%,,
Macedonia,"23,639",1.13%,,
Gabon,"20,241",0.91%,,
Cyprus,"20,139",1.67%,,
Mauritius,"20,007",1.57%,,
Bahrain,"16,685",0.98%,,
Trinidad and Tobago,"16,377",1.17%,,
Montenegro,"9,955",1.59%,,
Luxembourg,"7,325",1.17%,,
Malta,"6,371",1.44%,,
Macao,"5,828",0.90%,,
Suriname,"5,474",0.93%,,
Maldives,"5,108",0.94%,,
Brunei,"3,979",0.91%,,
The Bahamas,"3,576",0.91%,,
Belize,"3,569",0.90%,,
Iceland,"3,387",0.99%,,
Barbados,"3,022",1.05%,,
